Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 24675,9.8,2,14.9,90,82,19,4.5
Kabel 24676,9,2.7,18.6,60,-30,19,2.2
Kabel 24677,2.5,2.7,21.9,100,9,15,3
Kabel 24678,1.4,2.5,20.6,70,19,25,2.8
Kabel 24679,1.2,2.5,27.6,70,-12,26,4
Kabel 24680,2.8,2.2,16.6,60,81,18,4.3
Kabel 24681,2.6,2.5,18.6,70,8,16,5.2
Kabel 24682,9.2,2.6,10,50,87,27,5.6
Kabel 24683,9.6,2.7,8.9,90,91,19,2.2
Kabel 24684,2,1.8,27.9,80,73,24,2.1
Kabel 24685,7.2,1.8,27.3,60,121,26,2.7
Kabel 24686,4.8,1.8,16.5,70,99,23,2
Kabel 24687,8.6,2.2,23,80,105,24,4.3
Kabel 24688,6.6,2.3,22,60,-16,22,3.6
Kabel 24689,1.3,1.7,11.1,90,109,16,3.2
Kabel 24690,3.9,2,10.5,50,58,16,6
Kabel 24691,3.1,2.3,24.1,70,128,21,3.2
Kabel 24692,1.1,2.3,8.5,80,126,20,3.1
Kabel 24693,2.9,2.4,15.6,60,-24,25,5.6
Kabel 24694,2.8,1.9,23.3,90,94,21,3.6
Kabel 24695,7.6,2.4,23.9,80,144,25,5.4
Kabel 24696,2.2,1.7,11.8,100,60,24,5.4
Kabel 24697,8.8,2.2,11.6,60,92,23,3.1
Kabel 24698,4.2,2,25.1,100,80,20,3.5
Kabel 24699,4.2,2.5,20.9,70,-17,23,5.7
Kabel 24700,4.5,2.1,20.2,90,92,23,2.4
Kabel 24701,6.5,2.5,17.9,90,23,16,5.4
Kabel 24702,8.9,2.7,12.5,90,-17,22,5.9
Kabel 24703,4.3,1.9,16.9,90,-2,27,4.3
Kabel 24704,8.7,1.9,9.2,70,138,17,4.1
Kabel 24705,7.4,2.6,24.9,90,60,21,5.9
Kabel 24706,4.4,1.9,10.1,80,51,19,3.3
Kabel 24707,6.2,1.9,14.1,60,10,25,5.8
Kabel 24708,3.8,1.9,9.4,70,95,25,3.8
Kabel 24709,1.7,2.7,26.3,60,51,16,3.1
Kabel 24710,5.5,2.8,12.7,60,38,24,5.3
Kabel 24711,8.5,2.1,26.3,70,31,14,3.2
Kabel 24712,4.6,2,22.1,90,108,22,5.2
Kabel 24713,9.4,2.4,17,80,148,17,6
Kabel 24714,7.9,1.8,8.2,80,39,26,5.7
Kabel 24715,7.1,2.4,26.8,50,30,15,4.4
Kabel 24716,5.6,2.3,12.5,80,-25,17,5.9
Kabel 24717,7.5,2.7,16.2,60,65,15,5.2
Kabel 24718,1.6,1.9,14.3,90,27,26,5
Kabel 24719,1.6,1.6,8.4,70,3,19,6
Kabel 24720,5.9,2.7,13.9,80,91,16,4.9
Kabel 24721,5.6,1.7,19,60,129,22,5.2
Kabel 24722,3.9,1.9,19.4,80,98,17,4.4
Kabel 24723,5.5,2.2,24.4,60,110,25,2.2
Kabel 24724,6.1,2.3,24.5,70,4,15,3.9
Kabel 24725,1.1,2.4,21,90,-16,22,4.4
Kabel 24726,2.1,2,21.9,70,2,22,4
Kabel 24727,5.8,2.8,20.9,70,43,23,5.6
Kabel 24728,4.5,2.1,10.2,100,-35,25,2.3
Kabel 24729,2.1,1.8,14.7,60,94,25,3.5
Kabel 24730,2.5,2.8,23.3,60,114,16,5.2
Kabel 24731,9.7,2.2,13.3,90,-15,17,2.2
Kabel 24732,8.2,2.2,21.2,90,6,21,5.1
Kabel 24733,1.1,2.5,24.5,80,-10,16,6
Kabel 24734,9.5,1.9,21.8,80,9,17,3.1
Kabel 24735,6.9,2.2,10.5,70,-32,23,2.5
Kabel 24736,8.5,2.7,16.2,50,73,24,4.7
Kabel 24737,9.1,2.2,27.2,80,148,15,2.6
Kabel 24738,7.7,2.1,19.9,80,41,13,4.7
Kabel 24739,2.4,2.5,10.5,60,138,15,3.6
Kabel 24740,5.3,2.8,24,70,-16,21,3.1
Kabel 24741,4,2.3,16.7,60,33,18,3.8
Kabel 24742,3.3,2.6,21.6,60,-10,16,5.6
Kabel 24743,3.4,2,24.8,60,92,18,5.7
Kabel 24744,3.3,1.9,10.4,60,112,24,2.8
Kabel 24745,5.5,2.3,23.2,60,3,24,5
Kabel 24746,3.9,2,14.8,80,111,18,3.1
Kabel 24747,1.3,1.8,14.6,90,145,26,2.3
Kabel 24748,7.2,1.8,22.3,50,48,22,5.3
Kabel 24749,6.5,2,15.3,50,-1,19,5.5
Kabel 24750,1.5,2.7,23.1,90,97,23,5.7
Kabel 24751,1.1,1.7,12.9,60,6,20,2.9
Kabel 24752,7,2.5,22.3,60,88,15,5
Kabel 24753,4.2,2.4,9.7,50,35,26,4.7
Kabel 24754,8.2,1.6,11.8,50,105,21,2.1
Kabel 24755,9.9,1.7,9.7,100,44,20,2
Kabel 24756,4.5,2.2,14,90,74,25,2.7
Kabel 24757,2.8,2.5,10.4,100,11,17,3.7
Kabel 24758,3.1,1.8,17.9,60,61,17,3.3
Kabel 24759,8.1,2.6,26.3,70,15,19,5
Kabel 24760,1.6,2.5,15.3,70,113,19,5.5
Kabel 24761,2.7,2.4,15.5,90,45,22,3.7
Kabel 24762,4.7,2,20.9,60,131,13,3.4
Kabel 24763,6.3,2.5,21.6,70,35,14,2.5
Kabel 24764,4.4,2.8,12.1,80,86,13,4.8
Kabel 24765,4.5,2.5,17.1,80,-24,17,5.8
Kabel 24766,2.9,2.4,26.9,90,51,21,3.9
Kabel 24767,7.7,2.8,26.8,50,5,21,5
Kabel 24768,7.8,2.1,26.6,70,4,24,5.8
Kabel 24769,4.9,2,17.1,80,85,16,4.2
Kabel 24770,2.4,2.3,15.3,100,19,15,4.9
Kabel 24771,4.7,2.6,25.1,80,109,26,4.7
Kabel 24772,4.2,1.6,17.7,70,118,26,3.4
Kabel 24773,7.8,2,8.1,90,88,20,2.4
Kabel 24774,1.5,2.6,17.8,50,42,19,3.8
Kabel 24775,8.1,2.3,23.1,80,9,16,3.8
Kabel 24776,4.8,2.7,18.8,90,16,26,4.7
Kabel 24777,2.3,2.2,22.5,80,129,22,5.9
Kabel 24778,7.8,2.1,19.5,70,150,14,2.4
Kabel 24779,7.9,1.7,20.1,70,75,15,3.3
Kabel 24780,8.4,1.8,23.4,90,74,13,2.6
Kabel 24781,6.3,2.8,25.8,70,86,20,2.7
Kabel 24782,4.8,2.2,10.3,60,114,23,3.6
Kabel 24783,2.6,2.6,24.2,70,104,22,2.3
Kabel 24784,5,2.6,13.6,60,143,20,4.4
Kabel 24785,2.7,1.8,24,100,33,24,3.4
Kabel 24786,7.7,2.3,8.4,90,-37,24,2.3
Kabel 24787,6.2,2.4,18.5,80,79,14,5.8
Kabel 24788,7.9,2.5,18.1,60,41,15,2.6
Kabel 24789,1.1,2,21.7,70,78,18,5.2
Kabel 24790,8.2,2.7,18.1,80,86,18,5.5
Kabel 24791,8.5,2.7,27.2,60,19,19,4.3
Kabel 24792,4.6,2.8,25.9,70,45,25,4.5
Kabel 24793,4.2,1.9,15.8,90,42,22,4.8
Kabel 24794,7.1,2.7,18.5,80,62,23,5.1
Kabel 24795,2.8,2.5,19.5,60,-26,23,4.8
Kabel 24796,3.3,2.6,12.9,100,-28,17,4
Kabel 24797,10,1.6,17.8,60,-29,23,4.2
Kabel 24798,6.1,2,23.6,80,72,14,2
Kabel 24799,1.4,1.8,25.6,80,46,17,3.6
Kabel 24800,1.7,2.5,17,80,71,19,5.1
Kabel 24801,8,1.8,26.1,80,145,13,2.1
Kabel 24802,3.5,2.5,11.3,90,104,24,5.6
Kabel 24803,1.5,1.8,24.6,90,128,21,4.8
Kabel 24804,8.9,2.2,16.4,100,8,24,3
Kabel 24805,8.5,2,23.5,80,66,20,5
Kabel 24806,1,2.3,8.2,60,86,22,3.9
Kabel 24807,3.4,2.5,27,70,148,24,5.4
Kabel 24808,7.7,2.5,22.2,80,33,15,4.8
Kabel 24809,1.8,2,15.9,80,37,21,3.9
Kabel 24810,9.5,2.4,17.8,60,3,24,6
Kabel 24811,6.2,2.7,10.7,80,-21,14,3.2
Kabel 24812,4.7,2.6,23.1,70,-38,14,3.4
Kabel 24813,1.7,1.7,17,80,-25,24,4.4
Kabel 24814,4.1,2.1,12.5,70,101,21,4.4
Kabel 24815,4.4,2.7,23.6,90,131,26,2.4
Kabel 24816,3.6,2,27.6,80,-32,21,4.2
Kabel 24817,7.5,2.3,13.7,80,19,23,3.9
Kabel 24818,6.7,2.2,23.1,80,100,19,4.2
Kabel 24819,4.5,1.7,22.6,60,66,20,3.1
Kabel 24820,7.1,2,26.8,60,29,26,4
Kabel 24821,5.3,2.4,16.2,100,-26,15,3
Kabel 24822,7.2,2.3,9.1,60,112,18,4.4
Kabel 24823,1.8,2.2,8.4,70,-5,27,5.7
Kabel 24824,9.8,1.8,27.8,50,7,22,2.4
Kabel 24825,1.1,2.1,24.4,80,35,26,5.2
Kabel 24826,8.8,2.7,9.1,70,32,19,5.7
Kabel 24827,9.6,2.5,21.4,80,-26,16,5.1
Kabel 24828,9.3,1.8,10,80,-0,23,2.5
Kabel 24829,4.3,2.4,12.9,90,148,16,2.5
Kabel 24830,4.8,2.7,27.6,90,-40,27,2.4
Kabel 24831,2.8,2.7,19.5,100,90,21,3.2
Kabel 24832,9.2,2,17.6,60,88,23,3.3
Kabel 24833,7,2.3,11.2,70,109,22,5.4
Kabel 24834,6.8,2,10.1,60,145,24,4.2
Kabel 24835,4.9,2.2,16,80,4,13,5.3
Kabel 24836,6.6,2.2,23.3,80,48,23,6
Kabel 24837,1.8,2.4,14.2,50,74,15,2.7
Kabel 24838,7.2,2.2,22.1,50,7,25,3.7
Kabel 24839,1.8,2.4,21,60,126,18,5.4
Kabel 24840,4,1.9,25.2,50,35,19,5.8
Kabel 24841,7.1,1.7,8.4,90,65,17,2.2
Kabel 24842,2.8,2.6,23.4,80,39,25,2.1
Kabel 24843,3.2,2.2,11.7,80,71,18,2
Kabel 24844,5.7,2.2,20.6,70,27,21,5.4
Kabel 24845,8.8,2,10.7,80,43,20,4.3
Kabel 24846,5.9,1.7,19.3,90,56,24,5.3
Kabel 24847,4.7,2.5,12.7,50,-38,21,3.5
Kabel 24848,4.8,1.8,15.7,50,106,20,3.4
Kabel 24849,7,2.4,24,100,64,21,3.3
Kabel 24850,6.6,2,18,50,44,17,5.9
Kabel 24851,6.7,2,13.9,70,101,15,3.3
Kabel 24852,2.9,2.4,25.4,80,139,20,2.6
Kabel 24853,4.3,1.8,21.9,100,-34,22,3.4
Kabel 24854,5.3,2.7,16.7,100,122,26,4.7
Kabel 24855,1.3,2.8,26.4,70,101,24,3.2
Kabel 24856,3.9,2.3,19.7,100,10,18,3.6
Kabel 24857,6.1,2.6,20.2,90,107,24,3.7
Kabel 24858,6.7,2.5,18.4,50,72,21,2.8
Kabel 24859,4.3,1.8,26.4,70,113,26,4.2
Kabel 24860,1.3,1.7,16.5,70,95,18,3.8
Kabel 24861,7.1,2.5,24.8,70,36,17,3
Kabel 24862,1.6,2.6,26.5,100,33,24,2.5
Kabel 24863,8.7,2.4,22.3,80,117,26,4.8
Kabel 24864,3.2,2.7,13.8,60,12,19,5.3
Kabel 24865,6.5,1.8,26.3,100,-31,24,2.1
Kabel 24866,10,2.2,21.2,100,129,23,3.8
Kabel 24867,1.1,2.2,18.7,60,50,25,3.6
Kabel 24868,1.6,1.9,8,70,-26,18,4.9
Kabel 24869,7.4,2.1,14,100,40,13,3
Kabel 24870,9.4,1.8,25.6,100,131,22,5.7
Kabel 24871,7.9,1.8,23.8,100,17,25,4.3
Kabel 24872,3.9,2.4,10.9,60,100,19,4.8
Kabel 24873,7.3,1.8,10,70,64,15,2.8
Kabel 24874,8,2.5,19.2,80,110,19,4.9
Kabel 24875,10,2,9.2,60,53,15,2.1
Kabel 24876,8,2.3,18.3,100,82,14,3.3
Kabel 24877,5.7,1.8,22.2,100,28,24,3.8
Kabel 24878,6.9,2.8,9.7,80,18,20,3.9
Kabel 24879,5.1,1.8,10,70,66,24,4.5
Kabel 24880,9.8,2.6,27.9,50,47,15,2.1
Kabel 24881,9.8,1.7,21.9,100,51,26,2.2
Kabel 24882,9.8,2.8,16.3,80,12,19,2.4
Kabel 24883,5.2,1.7,25.3,80,21,24,2.2
Kabel 24884,2.6,2.5,17.7,50,-27,22,2.3
Kabel 24885,9.1,1.9,20,80,0,15,4.5
Kabel 24886,7.1,2.6,14.1,70,-31,25,2
Kabel 24887,5.7,2.7,26.9,80,-29,15,3
Kabel 24888,6.5,2.5,14.9,60,112,22,2.5
Kabel 24889,3.7,2.7,23.3,60,4,19,2.1
Kabel 24890,4.9,2.4,17.3,100,63,15,3.1
Kabel 24891,1.4,1.8,21.3,60,4,17,5.3
Kabel 24892,5.1,2.3,18.4,60,134,13,2.1
Kabel 24893,2.6,1.6,22.7,60,90,21,2.6
Kabel 24894,5.4,2.3,14.4,80,84,25,3.5
Kabel 24895,4.2,1.8,12.4,80,74,25,2.7
Kabel 24896,3.7,2.7,19.8,70,29,17,3.3
Kabel 24897,9.7,2,26.6,90,121,23,4.4
Kabel 24898,5.9,1.8,10.7,60,128,20,4.5
Kabel 24899,5.8,2.4,18.9,80,139,19,5.5
Kabel 24900,9.2,2.3,27.5,80,-12,19,2.9
Kabel 24901,7.4,2.8,17.1,80,-25,15,4.9
Kabel 24902,6.8,1.6,20.7,50,121,24,3.4
Kabel 24903,6.8,2,23.9,90,-35,23,4
Kabel 24904,1.3,2.6,14.7,100,145,23,5.2
Kabel 24905,4.7,2.6,24.4,70,48,16,5.7
Kabel 24906,1.4,2.5,10.5,70,123,14,4.1
Kabel 24907,1,2.8,25,90,144,24,2.8
Kabel 24908,2.9,1.9,16.6,60,85,21,5.1
Kabel 24909,2.2,2.5,24.5,50,56,25,4.1
Kabel 24910,8.1,2,28,60,-35,14,4.6
Kabel 24911,8,2.4,19.6,60,-34,22,4
Kabel 24912,1.5,2.1,10.2,70,117,22,3.4
Kabel 24913,4.4,1.9,17.4,80,63,22,4.3
Kabel 24914,6.8,2.5,15.6,80,59,26,2.4
Kabel 24915,7.4,2.7,19.8,70,44,14,3.8
Kabel 24916,4.8,2.8,27.1,80,81,19,4.3
Kabel 24917,8.5,1.8,21.2,80,80,19,5.2
Kabel 24918,9.1,2.2,18.4,90,115,25,3.7
Kabel 24919,4.9,2.1,23.1,80,83,23,6
Kabel 24920,3.9,2.8,26.1,50,29,20,4.7
Kabel 24921,8.8,2.8,15.9,90,5,24,3.8
Kabel 24922,4.8,2,25.5,90,143,21,4.2
Kabel 24923,8.2,2.5,24.3,100,142,15,2.1
Kabel 24924,7.9,1.8,13.7,80,61,24,4.3
Kabel 24925,4.3,1.9,24.8,90,2,16,2.8
Kabel 24926,5.2,2.6,8.5,90,114,19,3.2
Kabel 24927,7,2.3,10.4,70,12,21,2.5
Kabel 24928,2.3,2.3,19.3,60,116,24,5.5
Kabel 24929,5.9,2.2,16.2,100,126,16,3.1
Kabel 24930,6.3,2.2,15.5,60,110,23,5.4
Kabel 24931,5.1,2.2,10.9,80,1,14,3.3
Kabel 24932,9.8,2.7,11.6,80,-18,15,2.8
Kabel 24933,4,1.8,15,70,5,20,3.4
Kabel 24934,3.1,2.4,11.1,50,111,16,5.7
Kabel 24935,9.2,2.1,17.5,60,81,22,2.8
Kabel 24936,8.5,2.1,21.3,60,107,18,5.3
Kabel 24937,7.9,1.9,11,70,92,19,5.2
Kabel 24938,1.9,2.4,9.7,90,30,26,4.1
Kabel 24939,1.4,1.7,23.7,60,7,20,3.2
Kabel 24940,8,2.6,9.6,90,6,21,4.5
Kabel 24941,2.4,2,17.7,60,106,22,2.7
Kabel 24942,3.3,2,16.2,60,35,22,3.9
Kabel 24943,5.2,2,18.2,60,-31,15,3.9
Kabel 24944,6.6,2.3,17.7,70,70,17,3.5
Kabel 24945,5.3,2.7,20.1,90,121,20,2.5
Kabel 24946,8.3,2,19,90,26,27,5.9
Kabel 24947,2.4,2,15.8,90,-4,14,3.3
Kabel 24948,9.2,2.1,22.2,90,113,18,4.8
Kabel 24949,6.7,2,12.1,90,86,14,3.8
Kabel 24950,3,1.6,27.6,70,55,14,4.3
Kabel 24951,3.5,2.1,14.4,80,74,24,2.6
Kabel 24952,9.3,2.4,18.6,70,0,23,4
Kabel 24953,9,2.5,27.8,80,55,16,4.2
Kabel 24954,7.6,1.8,27.7,80,131,26,4.8
Kabel 24955,9.7,2.3,21,90,62,22,4.3
Kabel 24956,8,2.7,24.8,90,67,16,5.1
Kabel 24957,5.9,2.4,16.9,90,76,19,5.2
Kabel 24958,6,1.6,13.8,80,88,18,4.8
Kabel 24959,3.7,2.6,20.9,50,81,23,2.2
Kabel 24960,7.9,2.2,11.2,80,-22,19,3
Kabel 24961,8.2,2.5,19.6,90,80,20,3.9
Kabel 24962,2.8,1.8,24.3,60,69,26,5.2
Kabel 24963,7.5,2.7,23,50,67,23,2.5
Kabel 24964,1.7,2.6,24.6,100,9,23,4.5
Kabel 24965,4.8,2.4,8.3,70,115,22,2.2
Kabel 24966,7.6,2.5,25.8,50,-9,19,4.4
Kabel 24967,9.4,2.1,9.2,80,143,13,5.6
Kabel 24968,7.6,2.1,21,80,97,17,2.6
Kabel 24969,8.1,2.2,26.6,60,103,25,5.1
Kabel 24970,2.9,2.2,22.1,50,62,15,5.9
Kabel 24971,6.6,2.2,11.9,90,47,21,3.2
Kabel 24972,3.8,2.7,18.8,90,124,22,3.3
Kabel 24973,1.6,1.7,10,90,-8,13,3
Kabel 24974,3.5,2.3,17,70,-34,17,4.2
Kabel 24975,4.4,1.7,25.2,80,53,21,5.8
Kabel 24976,5.8,2.2,9.1,90,137,20,4.1
Kabel 24977,4.9,2.6,9.7,60,77,21,2.5
Kabel 24978,8.9,1.7,11.5,80,136,26,4
Kabel 24979,9.7,1.9,23.4,90,132,23,4.3
Kabel 24980,7.8,1.8,13.1,60,150,23,2.6
Kabel 24981,4.2,2.3,21.8,60,72,24,3.7
Kabel 24982,2.7,2.6,25.9,60,134,22,3
Kabel 24983,5.3,2.6,20,90,12,27,2.6
Kabel 24984,6.9,2.4,21.9,90,89,25,4.5
Kabel 24985,4.4,1.7,23.6,100,28,18,2.2
Kabel 24986,2.4,1.6,27,90,-18,26,3.1
Kabel 24987,2.5,2.4,23.1,50,124,23,4.3
Kabel 24988,1.4,2.3,14.8,60,150,16,3.1
Kabel 24989,10,2.7,25.8,90,57,23,5.9
Kabel 24990,1.8,2.5,24.3,60,34,17,2.9
Kabel 24991,8.4,1.9,18.5,100,14,21,3.2
Kabel 24992,3,1.6,9.5,50,133,17,3.1
Kabel 24993,5,1.8,25,70,-33,26,3
Kabel 24994,8.3,2.8,23.2,90,23,27,4.6
Kabel 24995,4.9,2.3,15.6,70,27,27,5.2
Kabel 24996,2.1,2.3,22.4,70,82,15,5.8
Kabel 24997,4.4,2.5,21.3,60,-29,24,2.6
Kabel 24998,2,2.4,8.1,80,4,20,2.2
Kabel 24999,3.3,2,13.2,80,61,24,4.2
Kabel 25000,3,2.4,14.2,60,12,25,2.2
Kabel 25001,8.4,2,23.8,70,58,22,5.3
Kabel 25002,5.6,2.5,19.2,60,35,16,3
Kabel 25003,8.8,1.7,20,80,95,19,3.6
Kabel 25004,8.1,1.9,13.4,80,-31,17,4.7
Kabel 25005,2.7,2,17.9,90,-21,17,4
Kabel 25006,7.5,2,14,60,5,25,5.5
Kabel 25007,8.1,2.6,13.6,70,128,23,5.6
Kabel 25008,8.9,2.3,25.9,90,18,24,4.4
Kabel 25009,7.6,1.8,19.7,90,89,26,4.4
Kabel 25010,9.7,1.9,23.2,90,9,18,3
Kabel 25011,2,1.9,9.2,70,6,22,3.6
Kabel 25012,8.3,1.8,22.7,80,101,26,5.4
Kabel 25013,3.9,2.3,12.5,90,46,20,3.6
Kabel 25014,9.4,2.7,11.3,50,28,17,2.5
Kabel 25015,6.8,1.7,21.4,60,-7,21,5.1
Kabel 25016,1.7,2,27.4,80,54,19,3.1
Kabel 25017,6.4,1.8,27.1,90,-11,21,2
Kabel 25018,4,1.9,25.1,60,113,23,2.9
Kabel 25019,9.5,2.2,13.9,100,7,13,4.8
Kabel 25020,9.7,2.8,15.1,80,48,22,2.2
Kabel 25021,9.7,1.9,17.9,90,39,14,5.7
Kabel 25022,2.1,1.7,19.7,100,93,21,5
Kabel 25023,8.9,2.2,13.1,60,107,19,5
Kabel 25024,5.6,2.7,19.4,80,78,13,2.6
Kabel 25025,3,2.4,21.7,80,82,20,5.1
Kabel 25026,5.1,1.9,20.1,100,7,15,3
Kabel 25027,8,1.7,19.7,90,-4,17,5.5
Kabel 25028,4.6,1.9,18.2,60,137,25,4.9
Kabel 25029,9.4,2.2,12.9,90,13,16,2.3
Kabel 25030,6.6,2.5,9.1,80,116,15,4.5
Kabel 25031,9.1,1.9,26.6,90,114,21,3.3
Kabel 25032,2.3,1.8,21.7,80,-36,19,3.9
Kabel 25033,8.3,2,22.6,70,56,21,3.4
Kabel 25034,9.9,2.4,11.1,70,66,18,5.4
Kabel 25035,7.8,2.2,24.3,90,18,15,4.5
Kabel 25036,8.1,2.7,9.9,70,42,16,5.6
Kabel 25037,7.9,2.8,24.2,60,-30,19,2.2
Kabel 25038,5.9,2.7,16.9,50,148,25,3.7
Kabel 25039,4.7,2.2,26.2,80,-19,13,3.8
Kabel 25040,3,2.6,14.9,100,-27,22,4.1
Kabel 25041,8.9,2.2,16.1,100,50,27,3.8
Kabel 25042,2.6,1.6,13.9,80,142,19,4.3
Kabel 25043,6.9,2.4,18.2,90,-38,13,4.7
Kabel 25044,9.3,1.8,9.9,80,-12,16,3.6
Kabel 25045,9.8,2.3,10.8,70,28,22,3.7
Kabel 25046,5.7,1.8,18.1,70,95,18,5.3
Kabel 25047,2.5,2.2,23.4,90,99,25,4.4
Kabel 25048,4.3,2,21.8,90,136,19,5.3
Kabel 25049,9.7,2.3,23,50,78,25,5.9
Kabel 25050,3.5,1.7,24.5,60,-10,26,5.2
Kabel 25051,7.5,2.7,9.9,80,49,20,5.3
Kabel 25052,6.3,2.6,25.5,50,-19,24,3
Kabel 25053,5.4,2.6,19.9,70,-5,23,2.3
Kabel 25054,3.1,1.7,15.6,70,-25,20,5.8
Kabel 25055,5.1,2.5,9.8,100,83,20,2.8
Kabel 25056,7.2,2.6,11.2,90,16,25,6
Kabel 25057,1.2,2.1,12.5,90,11,15,5.7
Kabel 25058,9.5,2.4,27.4,60,-37,15,2.3
Kabel 25059,2.8,2.3,20.8,70,72,26,2
Kabel 25060,3.7,2,22.2,70,-18,20,4.9
Kabel 25061,1,2.2,14.7,60,124,20,4.5
Kabel 25062,9.8,1.8,23.9,80,13,24,3.9
Kabel 25063,6.7,1.8,16.4,90,7,24,2.2
Kabel 25064,7.6,2,20.1,60,66,25,4.3
Kabel 25065,4.7,1.7,15.4,90,9,22,5.9
Kabel 25066,4.7,1.7,11.8,90,143,21,3.3
Kabel 25067,5.7,2.5,24.2,90,60,16,5.6
Kabel 25068,9.2,2.7,27.7,70,110,26,3.7
Kabel 25069,1.9,1.8,13.6,70,140,21,2.5
Kabel 25070,4.6,2,9.5,90,78,25,2.8
Kabel 25071,3.7,2.7,24.2,100,109,24,4.8
Kabel 25072,7.4,2.5,16.2,80,80,23,3.8
Kabel 25073,7.5,1.7,21.6,90,45,13,4.5
Kabel 25074,4.9,1.7,9,70,84,17,2.2
Kabel 25075,2.2,2.3,26.5,80,118,26,3.4
Kabel 25076,9.1,1.6,20.4,60,90,25,2.9
Kabel 25077,5.6,2.3,10.4,70,91,22,4.4
Kabel 25078,4.1,2.6,15,70,38,26,2
Kabel 25079,1.6,1.6,27,80,68,23,5.7
Kabel 25080,2.2,2.4,20.1,60,139,15,4.7
Kabel 25081,3.1,1.8,23.5,100,126,15,3
Kabel 25082,4.5,2.8,15.8,60,-16,22,4.5
Kabel 25083,6.5,2.5,24.3,70,118,22,4.4
Kabel 25084,2,2.7,16,70,140,14,2.6
Kabel 25085,3.1,2.7,10.4,90,-20,19,5
Kabel 25086,7.2,2.6,27,80,59,24,2.5
Kabel 25087,8.1,2.2,23.2,80,92,18,4.1
Kabel 25088,4.2,2.4,20.7,90,120,14,5.3
Kabel 25089,1.7,2.2,27.5,90,115,14,3.6
Kabel 25090,6.1,2.1,15.4,90,127,23,5.1
Kabel 25091,9.1,1.7,23.5,60,145,23,2.4
Kabel 25092,5.8,2.5,10.8,80,3,24,5.1
Kabel 25093,7.9,2.3,17.3,50,11,22,5.7
Kabel 25094,2.1,2,10,70,69,21,5
Kabel 25095,8.9,2.6,17.1,100,45,23,3.8
Kabel 25096,8.2,2.5,21.9,90,144,15,2.5
Kabel 25097,5.2,1.7,16.2,90,-30,23,2.1
Kabel 25098,5.9,2,10.2,50,37,21,3.6
Kabel 25099,6.9,2.4,14.3,60,43,23,2.3
Kabel 25100,3.7,2.6,8.5,50,83,19,2.3
Kabel 25101,8.7,2.5,24.2,90,83,27,5
Kabel 25102,2.6,2.6,16.1,90,-25,20,4.9
Kabel 25103,4.4,2,11.9,90,126,21,2.1
Kabel 25104,6.6,2.2,20.5,90,-18,21,5.5
Kabel 25105,4.7,2.1,12.9,80,30,20,4.2
Kabel 25106,4.1,2.4,19.2,90,125,25,3.7
Kabel 25107,7.7,2.2,17.9,60,22,14,5.8
Kabel 25108,6.5,2.2,10.4,90,26,22,5
Kabel 25109,2.4,2.6,18.2,80,119,26,3
Kabel 25110,3,2.7,22.8,90,112,23,5
Kabel 25111,4,1.7,24.6,80,48,15,5.5
Kabel 25112,9.6,1.9,16.2,80,49,18,2
Kabel 25113,6.1,2.8,23.6,90,125,24,4.8
Kabel 25114,3.3,1.9,25.8,70,140,26,2.7
Kabel 25115,6.1,2.4,10.1,80,82,18,5.9
Kabel 25116,7.8,2.5,9.5,70,49,24,4.3
Kabel 25117,3.4,2.1,17.5,100,80,22,4.1
Kabel 25118,5.5,2,9.8,60,83,13,3.6
Kabel 25119,6.9,1.6,22.9,70,-8,14,2.7
Kabel 25120,7.5,2,19.5,60,-27,17,4.6
Kabel 25121,9.9,1.6,8.2,70,-28,16,5.6
Kabel 25122,8.9,2.4,18.2,60,144,13,2.9
Kabel 25123,3.6,2.4,18.9,90,135,21,5.2
Kabel 25124,9,2.7,27.1,100,69,25,5.7
Kabel 25125,9.3,1.6,21.5,80,109,15,4
Kabel 25126,2.2,2,15.9,60,-17,18,4.1
Kabel 25127,7.6,2.1,19.4,80,79,16,3.3
Kabel 25128,2.5,1.8,25.9,80,-6,15,2.8
Kabel 25129,6.9,1.9,25.3,70,17,27,2.4
Kabel 25130,1.6,2.8,23.9,90,110,23,4.3
Kabel 25131,2.1,2.1,17.7,90,130,22,2.7
Kabel 25132,2.1,2.4,21.8,60,23,14,3.4
Kabel 25133,3.1,2.7,11.7,80,-16,23,4.1
Kabel 25134,1.6,1.8,22.2,90,50,15,5.5
Kabel 25135,7.8,1.8,20.7,70,64,22,3.7
Kabel 25136,6.6,2.3,8.8,90,97,24,3.7
Kabel 25137,9.3,1.9,10.5,90,147,14,2
Kabel 25138,4.3,2.1,16.1,100,102,18,2.4
Kabel 25139,3.2,2.4,24.8,50,46,25,5.2
Kabel 25140,6.6,2.1,21.5,60,110,25,2
Kabel 25141,1.1,2.5,11.7,100,-13,17,2.3
Kabel 25142,9.3,1.8,25.5,60,62,15,4.3
Kabel 25143,3.8,2.4,17.4,80,-7,19,4.3
Kabel 25144,7.3,1.6,8.6,80,10,21,2.7
Kabel 25145,8,2.6,24,50,92,25,3.7
Kabel 25146,1.5,1.8,21.3,70,-4,15,3.7
Kabel 25147,4.2,2.7,24.4,50,111,25,2.4
